user,time,name,Activity,total Volume,total Packets,Total Flows,Total New Flows,primary Packet %,primary Volume %,primary Concurrent Flow %,primary New Flow %,primary Total TCP Packets,primary Total TCP Volume,primary Total SNI Packets,primary Concurrent Flows,primary New Flows,primary max Flow TCP Volume,primary median Flow TCP Volume,primary min Flow TCP Volume,primary max Flow TCP Packet,primary median Flow TCP Packet,primary min Flow TCP Packet,primary max Flow TCP Packet Size,primary median Flow TCP Packet Size,primary min Flow TCP Packet Size,primary max Total SNI Packets,primary median Total SNI Packets,primary min Total SNI Packets,cloud Packet %,cloud Volume %,cloud Concurrent Flow %,cloud New Flow %,cloud Total TCP Packets,cloud Total TCP Volume,cloud Total SNI Packets,cloud Concurrent Flows,cloud New Flows,cloud max Flow TCP Volume,cloud median Flow TCP Volume,cloud min Flow TCP Volume,cloud max Flow TCP Packet,cloud median Flow TCP Packet,cloud min Flow TCP Packet,cloud max Flow TCP Packet Size,cloud median Flow TCP Packet Size,cloud min Flow TCP Packet Size,cloud max Total SNI Packets,cloud median Total SNI Packets,cloud min Total SNI Packets,third party Packet %,third party Volume %,third party Concurrent Flow %,third party New Flow %,third party Total TCP Packets,third party Total TCP Volume,third party Total SNI Packets,third party Concurrent Flows,third party New Flows,third party max Flow TCP Volume,third party median Flow TCP Volume,third party min Flow TCP Volume,third party max Flow TCP Packet,third party median Flow TCP Packet,third party min Flow TCP Packet,third party max Flow TCP Packet Size,third party median Flow TCP Packet Size,third party min Flow TCP Packet Size,third party max Total SNI Packets,third party median Total SNI Packets,third party min Total SNI Packets,real time Packet %,real time Volume %,real time Concurrent Flow %,real time New Flow %,real time Total UDP Volume,real time Total UDP Packets,real time Concurrent Flows,real time New Flows,real time max Flow UDP Volume,real time median Flow UDP Volume,real time min Flow UDP Volume,real time max Flow UDP Packet,real time median Flow UDP Packet,real time min Flow UDP Packet,real time max Flow UDP Packet Size,real time median Flow UDP Packet Size,real time min Flow UDP Packet Size
a.b.c.d,1646972153,Multiverse2,MH,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a.b.c.d,1646972173,Multiverse2,MH,342351,1207,30,30,0.863297,0.867428,0.333333,0.333333,1042,296965,8,10,10,171239.000000,8906.000000,648.000000,306.000000,98.000000,6.000000,559.000000,126.000000,63.000000,1.000000,1.000000,0.000000,0.043911,0.021417,0.133333,0.133333,53,7332,1,4,4,2654.000000,1866.000000,946.000000,27.000000,10.000000,6.000000,288.000000,143.500000,98.000000,1.000000,0.000000,0.000000,0.021541,0.018423,0.300000,0.300000,26,6307,1,9,9,5324.000000,145.000000,60.000000,12.000000,2.000000,1.000000,443.000000,73.000000,60.000000,1.000000,0.000000,0.000000,0.071251,0.092732,0.233333,0.233333,31747,86,7,7,29464.000000,89.000000,76.000000,69.000000,1.000000,1.000000,427.000000,89.000000,76.000000
a.b.c.d,1646972193,Multiverse2,MH,385699,3635,25,25,0.807153,0.490193,0.320000,0.320000,2934,189067,0,8,8,185420.000000,243.000000,205.000000,2905.000000,3.000000,3.000000,209.000000,68.000000,63.000000,0.000000,0.000000,0.000000,0.009078,0.022136,0.320000,0.320000,33,8538,0,8,8,4650.000000,785.000000,66.000000,8.000000,4.000000,1.000000,930.000000,105.500000,66.000000,0.000000,0.000000,0.000000,0.011554,0.069658,0.280000,0.280000,42,26867,0,7,7,26252.000000,145.000000,60.000000,33.000000,2.000000,1.000000,795.000000,72.000000,60.000000,0.000000,0.000000,0.000000,0.172215,0.418012,0.080000,0.080000,161227,626,2,2,161145.000000,80613.000000,82.000000,625.000000,313.000000,1.000000,257.000000,169.500000,82.000000
a.b.c.d,1646972213,Multiverse2,MH,174197,688,27,2,0.005814,0.008089,0.296296,0.000000,4,1409,0,8,0,629.000000,0.000000,0.000000,2.000000,0.000000,0.000000,629.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047965,0.032417,0.370370,1.000000,33,5647,0,10,2,2055.000000,231.000000,0.000000,8.000000,3.000000,0.000000,286.000000,66.000000,0.000000,0.000000,0.000000,0.000000,0.005814,0.001665,0.259259,0.000000,4,290,0,7,0,145.000000,0.000000,0.000000,2.000000,0.000000,0.000000,72.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.940407,0.957829,0.074074,0.000000,166851,647,2,0,166851.000000,83425.000000,0.000000,647.000000,323.000000,0.000000,257.000000,128.500000,0.000000
a.b.c.d,1646972233,Multiverse2,MH,209458,779,30,3,0.100128,0.054851,0.266667,0.000000,78,11489,0,8,0,8889.000000,60.000000,0.000000,40.000000,1.000000,0.000000,222.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.035944,0.024129,0.433333,1.000000,28,5054,0,13,3,2092.000000,0.000000,0.000000,8.000000,0.000000,0.000000,286.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028241,0.114963,0.233333,0.000000,22,24080,0,7,0,23935.000000,0.000000,0.000000,20.000000,0.000000,0.000000,1196.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.835687,0.806057,0.066667,0.000000,168835,651,2,0,168835.000000,84417.000000,0.000000,651.000000,325.000000,0.000000,259.000000,129.500000,0.000000
a.b.c.d,1646972253,Multiverse2,MH,221105,827,21,21,0.029021,0.023708,0.142857,0.142857,24,5242,0,3,3,4211.000000,749.000000,282.000000,17.000000,4.000000,3.000000,249.000000,247.000000,70.000000,0.000000,0.000000,0.000000,0.140266,0.121720,0.476190,0.476190,116,26913,5,10,10,7456.000000,1762.000000,265.000000,25.000000,10.000000,4.000000,331.000000,207.500000,66.000000,1.000000,0.000000,0.000000,0.048368,0.143163,0.190476,0.190476,40,31654,0,4,4,31219.000000,145.000000,145.000000,34.000000,2.000000,2.000000,918.000000,72.000000,72.000000,0.000000,0.000000,0.000000,0.782346,0.711409,0.190476,0.190476,157296,647,4,4,157062.000000,79.000000,76.000000,644.000000,1.000000,1.000000,243.000000,79.000000,76.000000
a.b.c.d,1646972273,Multiverse2,MH,240431,826,28,7,0.031477,0.031834,0.107143,0.000000,26,7654,0,3,0,3785.000000,3707.000000,162.000000,18.000000,6.000000,2.000000,630.000000,205.000000,81.000000,0.000000,0.000000,0.000000,0.089588,0.101663,0.392857,0.142857,74,24443,1,11,1,15101.000000,1025.000000,0.000000,16.000000,7.000000,0.000000,1006.000000,110.000000,0.000000,1.000000,0.000000,0.000000,0.054479,0.168847,0.214286,0.285714,45,40596,1,6,2,35109.000000,139.000000,0.000000,31.000000,2.000000,0.000000,1132.000000,69.500000,0.000000,1.000000,0.000000,0.000000,0.824455,0.697655,0.285714,0.571429,167738,681,8,4,167418.000000,78.000000,0.000000,677.000000,1.000000,0.000000,247.000000,78.000000,0.000000
a.b.c.d,1646972293,Multiverse2,MH,200679,1054,42,14,0.342505,0.151291,0.285714,0.642857,361,30361,7,12,9,5056.000000,2581.000000,282.000000,75.000000,26.000000,4.000000,159.000000,81.500000,67.000000,1.000000,1.000000,0.000000,0.030361,0.026420,0.309524,0.142857,32,5302,0,13,2,2056.000000,0.000000,0.000000,8.000000,0.000000,0.000000,286.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017078,0.015353,0.214286,0.214286,18,3081,1,9,3,2635.000000,78.000000,0.000000,12.000000,1.000000,0.000000,219.000000,72.000000,0.000000,1.000000,0.000000,0.000000,0.610057,0.806935,0.190476,0.000000,161935,643,8,0,161935.000000,0.000000,0.000000,643.000000,0.000000,0.000000,251.000000,0.000000,0.000000
a.b.c.d,1646972313,Multiverse2,MH,184412,852,24,24,0.225352,0.102564,0.416667,0.416667,192,18914,0,10,10,8793.000000,243.000000,205.000000,115.000000,3.000000,3.000000,219.000000,68.000000,62.000000,0.000000,0.000000,0.000000,0.043427,0.035036,0.375000,0.375000,37,6461,1,9,9,2056.000000,440.000000,60.000000,8.000000,4.000000,1.000000,286.000000,101.000000,60.000000,1.000000,0.000000,0.000000,0.009390,0.003107,0.166667,0.166667,8,573,0,4,4,145.000000,145.000000,138.000000,2.000000,2.000000,2.000000,72.000000,72.000000,69.000000,0.000000,0.000000,0.000000,0.721831,0.859293,0.041667,0.041667,158464,615,1,1,158464.000000,158464.000000,158464.000000,615.000000,615.000000,615.000000,257.000000,257.000000,257.000000
a.b.c.d,1646972333,Multiverse2,MH,196059,712,28,4,0.002809,0.000826,0.357143,0.000000,2,162,0,10,0,162.000000,0.000000,0.000000,2.000000,0.000000,0.000000,81.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044944,0.024482,0.392857,0.500000,32,4800,0,11,2,1716.000000,138.000000,0.000000,8.000000,2.000000,0.000000,286.000000,66.000000,0.000000,0.000000,0.000000,0.000000,0.025281,0.116802,0.178571,0.250000,18,22900,0,5,1,22755.000000,0.000000,0.000000,16.000000,0.000000,0.000000,1422.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.926966,0.857890,0.071429,0.250000,168197,660,2,1,168115.000000,84098.000000,82.000000,659.000000,330.000000,1.000000,255.000000,168.500000,82.000000
