user,time,name,Activity,total Volume,total Packets,primary Packet % ,primary Volume % ,primary Total TCP Packets ,primary Total TCP Volume ,cloud Packet % ,cloud Volume % ,cloud Total TCP Packets ,cloud Total TCP Volume ,third party Packet % ,third party Volume % ,third party Total TCP Packets ,third party Total TCP Volume ,real time Packet % ,real time Volume % ,real time Total UDP Packets ,real time Total UDP Volume 
a.b.c.d,1646972153,Multiverse2,MH,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0
a.b.c.d,1646972173,Multiverse2,MH,342351,1207,0.863297,0.867428,1042,296965,0.043911,0.021417,53,7332,0.021541,0.018423,26,6307,0.071251,0.092732,31747,86
a.b.c.d,1646972193,Multiverse2,MH,385699,3635,0.807153,0.490193,2934,189067,0.009078,0.022136,33,8538,0.011554,0.069658,42,26867,0.172215,0.418012,161227,626
a.b.c.d,1646972213,Multiverse2,MH,174197,688,0.005814,0.008089,4,1409,0.047965,0.032417,33,5647,0.005814,0.001665,4,290,0.940407,0.957829,166851,647
a.b.c.d,1646972233,Multiverse2,MH,209458,779,0.100128,0.054851,78,11489,0.035944,0.024129,28,5054,0.028241,0.114963,22,24080,0.835687,0.806057,168835,651
a.b.c.d,1646972253,Multiverse2,MH,221105,827,0.029021,0.023708,24,5242,0.140266,0.121720,116,26913,0.048368,0.143163,40,31654,0.782346,0.711409,157296,647
a.b.c.d,1646972273,Multiverse2,MH,240431,826,0.031477,0.031834,26,7654,0.089588,0.101663,74,24443,0.054479,0.168847,45,40596,0.824455,0.697655,167738,681
a.b.c.d,1646972293,Multiverse2,MH,200679,1054,0.342505,0.151291,361,30361,0.030361,0.026420,32,5302,0.017078,0.015353,18,3081,0.610057,0.806935,161935,643
a.b.c.d,1646972313,Multiverse2,MH,184412,852,0.225352,0.102564,192,18914,0.043427,0.035036,37,6461,0.009390,0.003107,8,573,0.721831,0.859293,158464,615
a.b.c.d,1646972333,Multiverse2,MH,196059,712,0.002809,0.000826,2,162,0.044944,0.024482,32,4800,0.025281,0.116802,18,22900,0.926966,0.857890,168197,660
a.b.c.d,1646972353,Multiverse2,MH,176964,731,0.010944,0.009318,8,1649,0.031464,0.026661,23,4718,0.005472,0.001639,4,290,0.952120,0.962382,170307,696
a.b.c.d,1646972373,Multiverse2,MH,173342,698,0.034384,0.030206,24,5236,0.044413,0.031677,31,5491,0.008596,0.002509,6,435,0.912607,0.935607,162180,637
a.b.c.d,1646972393,Multiverse2,MH,201908,707,0.002829,0.000802,2,162,0.041018,0.026547,29,5360,0.041018,0.127637,29,25771,0.915134,0.845014,170615,647
a.b.c.d,1646972413,Multiverse2,MH,169064,645,0.018605,0.011173,12,1889,0.034109,0.032224,22,5448,0.009302,0.002573,6,435,0.937984,0.954029,161292,605
a.b.c.d,1646972433,Multiverse2,MH,303723,2209,0.666365,0.312818,1472,95010,0.033952,0.062547,75,18997,0.015844,0.095850,35,29112,0.283839,0.528784,160604,627
a.b.c.d,1646972453,Multiverse2,MH,678276,7045,0.906600,0.627943,6387,425919,0.028815,0.187166,203,126950,0.000000,0.000000,0,0,0.064585,0.184891,125407,455
a.b.c.d,1646972473,Multiverse2,MH,294795,1683,0.552585,0.223569,930,65907,0.034462,0.116952,58,34477,0.019608,0.071294,33,21017,0.393345,0.588185,173394,662
a.b.c.d,1646972493,Multiverse2,MH,168868,680,0.010294,0.006076,7,1026,0.057353,0.035602,39,6012,0.008824,0.002576,6,435,0.923529,0.955747,161395,628
a.b.c.d,1646972513,Multiverse2,MH,218969,819,0.081807,0.021149,67,4631,0.064713,0.076020,53,16646,0.040293,0.123885,33,27127,0.813187,0.778946,170565,666
a.b.c.d,1646972533,Multiverse2,MH,239040,904,0.172566,0.078962,156,18875,0.088496,0.168378,80,40249,0.009956,0.002677,9,640,0.728982,0.749983,179276,659
a.b.c.d,1646972553,Multiverse2,MH,243031,795,0.075472,0.024845,60,6038,0.096855,0.164983,77,40096,0.045283,0.122655,36,29809,0.782390,0.687517,167088,622
a.b.c.d,1646972573,Multiverse2,MH,203893,777,0.088803,0.023301,69,4751,0.029601,0.023140,23,4718,0.023166,0.118498,18,24161,0.858430,0.835061,170263,667
a.b.c.d,1646972593,Multiverse2,MH,208224,796,0.095477,0.058706,76,12224,0.055276,0.073344,44,15272,0.028894,0.061746,23,12857,0.820352,0.806204,167871,653
a.b.c.d,1646972613,Multiverse2,MH,172502,676,0.032544,0.026359,22,4547,0.050296,0.032840,34,5665,0.008876,0.002522,6,435,0.908284,0.938279,161855,614
a.b.c.d,1646972633,Multiverse2,MH,218278,882,0.199546,0.066791,176,14579,0.021542,0.020488,19,4472,0.020408,0.127558,18,27843,0.758503,0.785164,171384,669
a.b.c.d,1646972653,Multiverse2,MH,241247,916,0.168122,0.094434,154,22782,0.079694,0.146688,73,35388,0.020742,0.028659,19,6914,0.731441,0.730218,176163,670
a.b.c.d,1646972673,Multiverse2,MH,171240,681,0.010279,0.018039,7,3089,0.060206,0.040411,41,6920,0.008811,0.002540,6,435,0.920705,0.939010,160796,627
a.b.c.d,1646972693,Multiverse2,MH,181457,738,0.085366,0.027274,63,4949,0.031165,0.030343,23,5506,0.005420,0.001460,4,265,0.878049,0.940923,170737,648
a.b.c.d,1646972713,Multiverse2,MH,220288,997,0.267803,0.101395,267,22336,0.025075,0.023270,25,5126,0.032096,0.121241,32,26708,0.675025,0.754095,166118,673
a.b.c.d,1646972733,Multiverse2,MH,190963,841,0.252081,0.135084,212,25796,0.039239,0.029540,33,5641,0.022592,0.031189,19,5956,0.686088,0.804187,153570,577
a.b.c.d,1646972753,Multiverse2,MH,175859,780,0.128205,0.042489,100,7472,0.028205,0.026459,22,4653,0.000000,0.000000,0,0,0.843590,0.931053,163734,658
a.b.c.d,1646972773,Multiverse2,SUE,327097,1993,0.613146,0.284484,1222,93054,0.039137,0.111481,78,36465,0.012544,0.078451,25,25661,0.335173,0.525584,171917,668
a.b.c.d,1646972793,Multiverse2,SUE,1121036,13708,0.963890,0.808038,13213,905840,0.011745,0.093936,161,105306,0.002334,0.017897,32,20063,0.022031,0.080129,89827,302
a.b.c.d,1646972813,Multiverse2,SUE,3455349,50195,0.989740,0.954083,49680,3296691,0.000359,0.001056,18,3648,0.000279,0.001559,14,5387,0.009622,0.043302,149623,483
a.b.c.d,1646972833,Multiverse2,SUE,3118797,45135,0.988280,0.949242,44606,2960492,0.000554,0.001730,25,5394,0.000155,0.000161,7,501,0.011011,0.048868,152410,497
a.b.c.d,1646972853,Multiverse2,SUE,1460984,18976,0.973387,0.871192,18471,1272797,0.002951,0.011516,56,16825,0.001739,0.020529,33,29993,0.021922,0.096763,141369,416
a.b.c.d,1646972873,Multiverse2,SUE,432962,2878,0.760250,0.409537,2188,177314,0.037874,0.151713,109,65686,0.005907,0.053395,17,23118,0.195969,0.385355,166844,564
a.b.c.d,1646972893,Multiverse2,SUE,326600,2406,0.748961,0.487107,1802,159089,0.017041,0.027765,41,9068,0.003325,0.001754,8,573,0.230673,0.483374,157870,555
a.b.c.d,1646972913,Multiverse2,SUE,270698,1465,0.595222,0.388193,872,105083,0.025939,0.039339,38,10649,0.004778,0.001829,7,495,0.374061,0.570640,154471,548
a.b.c.d,1646972933,Multiverse2,SUE,334433,2063,0.706253,0.415982,1457,139118,0.011149,0.016458,23,5504,0.010179,0.089704,21,30000,0.272419,0.477857,159811,562
a.b.c.d,1646972953,Multiverse2,SUE,350736,2587,0.713568,0.379017,1846,132935,0.032470,0.118306,84,41494,0.011596,0.021991,30,7713,0.242366,0.480686,168594,627
a.b.c.d,1646972973,Multiverse2,SUE,945966,12124,0.525734,0.479824,6374,453897,0.002227,0.008612,27,8147,0.440861,0.388599,5345,367601,0.031178,0.122965,116321,378
